Time - Plot 0,Amplitude - Plot 0
0,0.316131
0.0002,0.316131
0.0004,0.316131
0.0006,0.318543
0.0008,0.318543
0.001,0.318543
0.0012,0.316131
0.0014,0.316131
0.0016,0.316131
0.0018,0.316131
0.002,0.316131
0.0022,0.316131
0.0024,0.318543
0.0026,0.318543
0.0028,0.316131
0.003,0.316131
0.0032,0.316131
0.0034,0.318543
0.0036,0.320955
0.0038,0.320955
0.004,0.320955
0.0042,0.320955
0.0044,0.320955
0.0046,0.320955
0.0048,0.320955
0.005,0.320955
0.0052,0.318543
0.0054,0.318543
0.0056,0.318543
0.0058,0.318543
0.006,0.316131
0.0062,0.316131
0.0064,0.316131
0.0066,0.316131
0.0068,0.316131
0.007,0.316131
0.0072,0.316131
0.0074,0.316131
0.0076,0.318543
0.0078,0.316131
0.008,0.316131
0.0082,0.316131
0.0084,0.316131
0.0086,0.316131
0.0088,0.316131
0.009,0.316131
0.0092,0.318543
0.0094,0.318543
0.0096,0.320955
0.0098,0.320955
0.01,0.323367
0.0102,0.323367
0.0104,0.323367
0.0106,0.325779
0.0108,0.325779
0.011,0.325779
0.0112,0.325779
0.0114,0.325779
0.0116,0.325779
0.0118,0.325779
0.012,0.325779
0.0122,0.325779
0.0124,0.328191
0.0126,0.328191
0.0128,0.325779
0.013,0.325779
0.0132,0.325779
0.0134,0.323367
0.0136,0.325779
0.0138,0.323367
0.014,0.323367
0.0142,0.323367
0.0144,0.323367
0.0146,0.323367
0.0148,0.323367
0.015,0.323367
0.0152,0.323367
0.0154,0.323367
0.0156,0.323367
0.0158,0.323367
0.016,0.325779
0.0162,0.325779
0.0164,0.325779
0.0166,0.323367
0.0168,0.323367
0.017,0.325779
0.0172,0.323367
0.0174,0.325779
0.0176,0.325779
0.0178,0.325779
0.018,0.325779
0.0182,0.325779
0.0184,0.325779
0.0186,0.325779
0.0188,0.325779
0.019,0.325779
0.0192,0.325779
0.0194,0.325779
0.0196,0.328191
0.0198,0.325779
0.02,0.325779
0.0202,0.325779
0.0204,0.325779
0.0206,0.325779
0.0208,0.328191
0.021,0.325779
0.0212,0.325779
0.0214,0.325779
0.0216,0.325779
0.0218,0.325779
0.022,0.325779
0.0222,0.323367
0.0224,0.325779
0.0226,0.323367
0.0228,0.323367
0.023,0.320955
0.0232,0.320955
0.0234,0.320955
0.0236,0.320955
0.0238,0.318543
0.024,0.320955
0.0242,0.320955
0.0244,0.320955
0.0246,0.320955
0.0248,0.320955
0.025,0.320955
0.0252,0.320955
0.0254,0.323367
0.0256,0.323367
0.0258,0.325779
0.026,0.323367
0.0262,0.323367
0.0264,0.323367
0.0266,0.323367
0.0268,0.323367
0.027,0.323367
0.0272,0.323367
0.0274,0.325779
0.0276,0.323367
0.0278,0.325779
0.028,0.323367
0.0282,0.325779
0.0284,0.323367
0.0286,0.320955
0.0288,0.320955
0.029,0.320955
0.0292,0.320955
0.0294,0.320955
0.0296,0.318543
0.0298,0.318543
0.03,0.318543
0.0302,0.318543
0.0304,0.318543
0.0306,0.316131
0.0308,0.316131
0.031,0.316131
0.0312,0.316131
0.0314,0.316131
0.0316,0.316131
0.0318,0.318543
0.032,0.318543
0.0322,0.318543
0.0324,0.318543
0.0326,0.320955
0.0328,0.320955
0.033,0.320955
0.0332,0.320955
0.0334,0.323367
0.0336,0.323367
0.0338,0.323367
0.034,0.320955
0.0342,0.320955
0.0344,0.320955
0.0346,0.318543
0.0348,0.318543
0.035,0.318543
0.0352,0.316131
0.0354,0.318543
0.0356,0.316131
0.0358,0.316131
0.036,0.316131
0.0362,0.316131
0.0364,0.316131
0.0366,0.316131
0.0368,0.318543
0.037,0.318543
0.0372,0.316131
0.0374,0.318543
0.0376,0.318543
0.0378,0.320955
0.038,0.318543
0.0382,0.320955
0.0384,0.320955
0.0386,0.320955
0.0388,0.318543
0.039,0.318543
0.0392,0.318543
0.0394,0.318543
0.0396,0.316131
0.0398,0.318543
0.04,0.316131
0.0402,0.318543
0.0404,0.318543
0.0406,0.318543
0.0408,0.318543
0.041,0.318543
0.0412,0.318543
0.0414,0.320955
0.0416,0.318543
0.0418,0.318543
0.042,0.318543
0.0422,0.318543
0.0424,0.318543
0.0426,0.318543
0.0428,0.318543
0.043,0.316131
0.0432,0.318543
0.0434,0.318543
0.0436,0.316131
0.0438,0.318543
0.044,0.316131
0.0442,0.316131
0.0444,0.318543
0.0446,0.316131
0.0448,0.316131
0.045,0.316131
0.0452,0.316131
0.0454,0.316131
0.0456,0.316131
0.0458,0.316131
0.046,0.316131
0.0462,0.318543
0.0464,0.318543
0.0466,0.318543
0.0468,0.316131
0.047,0.316131
0.0472,0.318543
0.0474,0.318543
0.0476,0.318543
0.0478,0.318543
0.048,0.316131
0.0482,0.318543
0.0484,0.318543
0.0486,0.318543
0.0488,0.318543
0.049,0.316131
0.0492,0.316131
0.0494,0.316131
0.0496,0.318543
0.0498,0.318543
0.05,0.318543
0.0502,0.318543
0.0504,0.318543
0.0506,0.318543
0.0508,0.318543
0.051,0.318543
0.0512,0.318543
0.0514,0.318543
0.0516,0.318543
0.0518,0.316131
0.052,0.316131
0.0522,0.316131
0.0524,0.316131
0.0526,0.316131
0.0528,0.316131
0.053,0.316131
0.0532,0.316131
0.0534,0.318543
0.0536,0.316131
0.0538,0.316131
0.054,0.316131
0.0542,0.316131
0.0544,0.318543
0.0546,0.316131
0.0548,0.316131
0.055,0.316131
0.0552,0.316131
0.0554,0.318543
0.0556,0.318543
0.0558,0.318543
0.056,0.318543
0.0562,0.320955
0.0564,0.320955
0.0566,0.320955
0.0568,0.320955
0.057,0.320955
0.0572,0.320955
0.0574,0.323367
0.0576,0.323367
0.0578,0.323367
0.058,0.323367
0.0582,0.320955
0.0584,0.325779
0.0586,0.323367
0.0588,0.323367
0.059,0.323367
0.0592,0.320955
0.0594,0.320955
0.0596,0.318543
0.0598,0.318543
0.06,0.318543
0.0602,0.316131
0.0604,0.316131
0.0606,0.316131
0.0608,0.313719
0.061,0.313719
0.0612,0.316131
0.0614,0.316131
0.0616,0.316131
0.0618,0.316131
0.062,0.316131
0.0622,0.316131
0.0624,0.318543
0.0626,0.318543
0.0628,0.318543
0.063,0.320955
0.0632,0.320955
0.0634,0.323367
0.0636,0.323367
0.0638,0.320955
0.064,0.323367
0.0642,0.323367
0.0644,0.325779
0.0646,0.325779
0.0648,0.325779
0.065,0.325779
0.0652,0.325779
0.0654,0.325779
0.0656,0.325779
0.0658,0.323367
0.066,0.325779
0.0662,0.325779
0.0664,0.325779
0.0666,0.325779
0.0668,0.325779
0.067,0.323367
0.0672,0.323367
0.0674,0.325779
0.0676,0.323367
0.0678,0.323367
